Country,City,Description
Poland,Białystok,"Białystok is the largest city in northeastern Poland and the capital of the Podlaskie Voivodeship. It is the tenth-largest city in Poland, second in terms of population density, and thirteenth in area."
Poland,Gdynia,"Gdynia is a city in northern Poland and a seaport on the Baltic Sea coast. With an estimated population of 257 000, it is the 12th-largest city in Poland and the second-largest in the Pomeranian Voivodeship after Gdańsk. Gdynia is part of a conurbation with the spa town of Sopot, the city of Gdańsk, and suburban communities, which together form a metropolitan area called the Tricity (Trójmiasto) with around one million inhabitants."
Poland,Częstochowa,"Częstochowa is a city in southern Poland on the Warta River with 214,342 inhabitants, making it the thirteenth-largest city in Poland. It is situated in the Silesian Voivodeship. However, Częstochowa is historically part of the Lesser Poland region, not of Silesia, and before 1795, it belonged to the Kraków Voivodeship. Częstochowa is located in the Kraków-Częstochowa Upland. It is the largest economic, cultural and administrative hub in the northern part of the Silesian Voivodeship."
Poland,Radom,"Radom is a city in east-central Poland, located approximately 100 kilometres south of the capital, Warsaw. It is situated on the Mleczna River in the Masovian Voivodeship. Radom is the fifteenth-largest city in Poland and the second-largest in its province with a population of 196,918 (30.06.2023)"
Poland,Toruń,"Toruń is a city on the Vistula River in north-central Poland and a UNESCO World Heritage Site. Its population was 196,935 as of December 2021. Previously, it was the capital of the Toruń Voivodeship (1975–1998) and the Pomeranian Voivodeship (1921–1945). Since 1999, Toruń has been a seat of the local government of the Kuyavian-Pomeranian Voivodeship and is one of its two capitals, together with Bydgoszcz. The cities and neighboring counties form the Bydgoszcz–Toruń twin city metropolitan area."
Poland,Sosnowiec,"Sosnowiec is an industrial city county in the Dąbrowa Basin of southern Poland, in the Silesian Voivodeship, which is also part of the Metropolis GZM municipal association. Located in the eastern part of the Upper Silesian Industrial Region, Sosnowiec is one of the cities of the Katowice urban area, which is a conurbation with the overall population of 2.7 million people; as well as the greater Katowice-Ostrava metropolitan area populated by about 5.3 million people. The population of the city is 189,178 as of December 2022."
Poland,Rzeszów,"Rzeszów is the largest city in southeastern Poland. It is located on both sides of the Wisłok River in the heartland of the Sandomierz Basin. Rzeszów is the capital of the Subcarpathian Voivodeship and the seat of Rzeszów County."
Poland,Kielce,"Kielce is a city in south-central Poland and the capital of the Świętokrzyskie Voivodeship. In 2021, it had 192,468 inhabitants. The city is in the middle of the Świętokrzyskie Mountains, on the banks of the Silnica River, in the northern part of the historical Polish province of Lesser Poland."
Poland,Gliwice,"Gliwice is a city in Upper Silesia, in southern Poland. The city is located in the Silesian Highlands, on the Kłodnica river. It lies approximately 25 km west from Katowice, the regional capital of the Silesian Voivodeship."
Poland,Zabrze,"Zabrze is an industrial city in Silesia in southern Poland, near Katowice. It lies in the western part of the Metropolis GZM, a metropolis with a population of around 2 million. It is in the Silesian Highlands, on the Bytomka River, a tributary of the Oder."
Lithuania,Vilnius,"Vilnius is the capital of and largest city in Lithuania and the second-most-populous city in the Baltic states. The city's estimated July 2024 population was 605,270, and the Vilnius urban area has an estimated population of 708,627."
Lithuania,Kaunas,"Kaunas is the second-largest city in Lithuania after Vilnius, the fourth largest city in the Baltic States and an important centre of Lithuanian economic, academic, and cultural life. Kaunas was the largest city and the centre of a county in the Duchy of Trakai of the Grand Duchy of Lithuania and Trakai Palatinate since 1413. In the Russian Empire, it was the capital of the Kaunas Governorate from 1843 to 1915."
Lithuania,Klaipėda,"Klaipėda is a city in Lithuania on the Baltic Sea coast. It is the third largest city in Lithuania, the fifth largest city in the Baltic States and the capital of Klaipėda County, as well as the only major seaport in the country."
Lithuania,Šiauliai,"Šiauliai is a city in northern Lithuania, the country's fourth largest city and the sixth largest city in the Baltic States, with a population of 112 581 in 2024. From 1994 to 2010 it was the capital of Šiauliai County."
Lithuania,Panevėžys,"Panevėžys is the fifth-largest city in Lithuania and the eighth-most-populous city in the Baltic States. As of 2021, it occupies 50 square kilometres (19 sq mi) with 89,100 inhabitants. As defined by Eurostat the population of the Panevėžys functional urban area that stretches beyond the city limits is estimated at 124,412."
Lithuania,Alytus,"Alytus is a city with municipal rights in southern Lithuania. It is the capital of Alytus County. The population as of July 2024 was 50,996. Alytus is the historical centre of the Dzūkija region. The city lies on the banks of the Nemunas river. The major roads linking Vilnius, Kaunas, Lazdijai, and Grodno in Belarus pass through Alytus."
Lithuania,Marijampolė,"Marijampolė is the capital of the Marijampolė County in the south of Lithuania, bordering Poland and Russian Kaliningrad Oblast, and Lake Vištytis. The city's population stood at approximately 48,700 in 2003. It is the cultural centre and largest settlement of the historical region of Suvalkija (Sudovia)."
Lithuania,Mažeikiai,"Mažeikiai is a city in northwestern Lithuania, on the Venta River. It has a population of around 32,000, making it the eighth largest city in Lithuania. The city is the administrative center of Mažeikiai District Municipality in Telšiai County. It is the largest city that does not have its own county."
Lithuania,Jonava,"Jonava is the ninth largest city in Lithuania with a population of c. 30,000. It is located in Kaunas County in central Lithuania, 30 km (19 mi) north east of Kaunas, the second-largest city in Lithuania. It is served by Kaunas International Airport. Achema, the largest fertilizer factory in the Baltic states, is located nearby the city."
Lithuania,Utena,"Utena is a city in north-east Lithuania. It is the administrative center of Utena district and Utena County. Utena is one of the oldest settlements of Lithuania. The name of the city is most probably derived from a hydronym. The name of the settlement has been known since 1261."
Lithuania,Kėdainiai,"Kėdainiai is one of the oldest cities in Lithuania. It is located 45 km (28 mi) north of Lithuania's second largest city Kaunas on the banks of the Nevėžis River. Kėdainiai were first mentioned in the 1372 Livonian Chronicle of Hermann de Wartberge, its population as of 2022 was 23,051. The Kėdainiai Old Town dates to the 17th century and many of its historical buildings were preserved."
Lithuania,Tauragė,"Tauragė is an industrial city in Lithuania, and the capital of Tauragė County. In 2020, its population was 20,956. Tauragė is situated on the Jūra River, close to the border with the Kaliningrad Oblast, and not far from the Baltic Sea coast."
Lithuania,Telšiai,"Telšiai is a city in Lithuania with about 21,499 inhabitants. It is the capital of Telšiai County and Samogitia region, and it is located on the shores of Lake Mastis."
Lithuania,Ukmergė,"Ukmergė is a city in Vilnius County, Lithuania, located 78 km (48 mi) northwest of Vilnius. It is the administrative center of the Ukmergė District Municipality."
Lithuania,Visaginas,"Visaginas is a city in northeastern Lithuania. It is the centre of Lithuania's youngest municipality, located on the north-eastern edge of the country. It was built as a town for workers engaged in the construction of the now decommissioned Ignalina Nuclear Power Plant. Visaginas is the only city in Lithuania where the majority of population speaks Russian as their first language. Originally the aerial view of Visaginas was designed to resemble a butterfly. However, after work on the nuclear power plant was cancelled, so was further construction of the town. Currently Visaginas consists of three residential regions that locals refer to as the 1st, 2nd and 3rd Microdistricts. Visaginas has 14 streets. The city grew up in a pine forest by Lake Visaginas. Tourism is currently an area of great potential, as is the possibility of a new nuclear power plant."
Lithuania,Plungė,"Plungė is a city in Lithuania with 17,252 inhabitants. Plunge is the capital of the Plungė District Municipality which has 33,251 inhabitants (2022). Two parts of the city are separated by the Babrungas River and two bridges are built over it."
Lithuania,Šilutė,"Šilutė is a city in the south of the Klaipėda County in western Lithuania. The city was part of the Klaipėda Region and ethnographic Lithuania Minor. Šilutė was the interwar capital of Šilutė County and is currently the capital of Šilutė District Municipality."
Lithuania,Radviliškis,"Radviliškis is a city in the Radviliškis district municipality, Šiauliai County, Lithuania. Radviliškis has been the administrative center of the district since 1950, and is an important railway junction."
Lithuania,Palanga,"Palanga is a resort city in western Lithuania, on the shore of the Baltic Sea."
Lithuania,Kretinga,"Kretinga is a city in Klaipėda County, in north-western Lithuania. It is the capital of the Kretinga District Municipality. It is located 12 km (7.5 mi) east of the popular Baltic Sea resort town of Palanga, and about 21 km (13 mi) north of Lithuania's 3rd largest city and principal seaport, Klaipėda."
Germany,Berlin,"Berlin is the capital and largest city of Germany, by both area and population. With over 3.85 million inhabitants, it has the highest population within its city limits of any city in the European Union. The city is also one of the states of Germany, being the third smallest state in the country by area. Berlin is surrounded by the state of Brandenburg, and Brandenburg's capital Potsdam is nearby. The urban area of Berlin has a population of over 4.5 million and is therefore the most populous urban area in Germany. The Berlin-Brandenburg capital region has around 6.2 million inhabitants and is Germany's second-largest metropolitan region after the Rhine-Ruhr region, and the fifth-biggest metropolitan region by GDP in the European Union."
Germany,Hamburg,"Hamburg, officially the Free and Hanseatic City of Hamburg, is the second-largest city in Germany after Berlin and 6th-largest in the European Union with a population of over 1.9 million. The Hamburg Metropolitan Region has a population of over 5.1 million and is the eighth-largest metropolitan region by GDP in the European Union."
Germany,Munich,"Munich is the capital and most populous city of the Free State of Bavaria, Germany. With a population of 1,594,632 inhabitants as of 31 May 2024, it is the third-largest city by population in Germany, after Berlin and Hamburg, and thus the largest which does not constitute its own state, as well as the 11th-largest city in the European Union. The Munich metropolitan area – including suburbs and satellite towns – has 3 million inhabitants; and the city's metropolitan region is home to about 6.2 million people and is the third largest metropolitan region by GDP in the European Union."
Germany,Cologne,"Cologne is the largest city of the German state of North Rhine-Westphalia and the fourth-most populous city of Germany with nearly 1.1 million inhabitants in the city proper and over 3.1 million people in the Cologne Bonn urban region. Cologne is also part of the Rhine-Ruhr metropolitan region, the second biggest metropolitan region by GDP in the European Union. Centered on the left (west) bank of the Rhine, Cologne is located on the River Rhine, about 35 km (22 mi) southeast of the North Rhine-Westphalia state capital Düsseldorf and 25 km (16 mi) northwest of Bonn, the former capital of West Germany."
Germany,Frankfurt,"Frankfurt am Main is the most populous city in the German state of Hesse. Its 773,068 inhabitants as of 2022 make it the fifth-most populous city in Germany. Located in the foreland of the Taunus on its namesake Main, it forms a continuous conurbation with Offenbach am Main; its urban area has a population of over 2.7 million. The city is the heart of the larger Rhine-Main metropolitan region, which has a population of more than 5.8 million and is Germany's second-largest metropolitan region after the Rhine-Ruhr region and the fourth biggest metropolitan region by GDP in the European Union. Frankfurt is one of the de facto four main capitals of the European Union, as it is home to the European Central Bank, one of the institutional seats of the European Union, while Frankfurt's central business district lies about 90 km (56 mi) northwest of the geographic center of the EU at Gadheim in Lower Franconia. Like France and Franconia, the city is named after the Franks. Frankfurt is the largest city in the Rhenish Franconian dialect area."
Germany,Stuttgart,"Stuttgart is the capital and largest city of the German state of Baden-Württemberg. It is located on the Neckar river in a fertile valley known as the Stuttgarter Kessel and lies an hour from the Swabian Jura and the Black Forest. Stuttgart has a population of 632,865 as of 2022, making it the sixth largest city in Germany, while over 2.8 million people live in the city's administrative region and nearly 5.5 million people in its metropolitan area, making it the fourth largest metropolitan area in Germany. The city and metropolitan area are consistently ranked among the top 4 European metropolitan areas by GDP; Mercer listed Stuttgart as 21st on its 2015 list of cities by quality of living; innovation agency 2thinknow ranked the city 24th globally out of 442 cities in its Innovation Cities Index; and the Globalization and World Cities Research Network ranked the city as a Beta-status global city in their 2020 survey. Stuttgart was one of the host cities for the official tournaments of the 1974 and 2006 FIFA World Cups."
Germany,Düsseldorf,"Düsseldorf is the capital city of North Rhine-Westphalia, the most populous state of Germany. It is the second-largest city in the state after Cologne and the seventh-largest city in Germany, with a 2022 population of 629,047."
Germany,Leipzig,"Leipzig is the most populous city in the German state of Saxony. The city has a population of 628,718 inhabitants as of 2023. It is the eighth-largest city in Germany and is part of the Central German Metropolitan Region. The name of the city is usually interpreted as a Slavic term meaning place of linden trees, in line with many other Slavic placenames in the region."
Germany,Dortmund,"Dortmund is the third-largest city in North Rhine-Westphalia, after Cologne and Düsseldorf, and the ninth-largest city in Germany. With a population of 612,065 inhabitants, it is the largest city of the Ruhr as well as the largest city of Westphalia. It lies on the Emscher and Ruhr rivers in the Rhine-Ruhr Metropolitan Region, the second biggest metropolitan region by GDP in the European Union, and is considered the administrative, commercial, and cultural centre of the eastern Ruhr. Dortmund is the second-largest city in the Low German dialect area, after Hamburg."
Germany,Essen,"Essen is the central and, after Dortmund, second-largest city of the Ruhr, the largest urban area in Germany. Its population of 586,608 makes it the fourth-largest city of North Rhine-Westphalia after Cologne, Düsseldorf and Dortmund, as well as the tenth-largest city of Germany. Essen lies in the larger Rhine-Ruhr metropolitan region, second largest by GDP in the EU, and is part of the cultural area of Rhineland. Because of its central location in the Ruhr, Essen is often regarded as the Ruhr's "secret capital". Two rivers flow through the city: the Emscher in the north, and in the south the Ruhr River, which is dammed in Essen to form the Lake Baldeney and Lake Kettwig reservoirs. The central and northern boroughs of Essen historically belong to the Low German Westphalian dialects area, and the south of the city to the Low Franconian Bergish area."
Germany,Bremen,"Bremen, officially the City Municipality of Bremen, is the capital of the German state of the Free Hanseatic City of Bremen, a two-city-state consisting of the cities of Bremen and Bremerhaven. With about 577,000 inhabitants, the Hanseatic city is the 11th-largest city of Germany and the second-largest city in Northern Germany after Hamburg."
Germany,Dresden,"Dresden is the capital city of the German state of Saxony and its second most populous city after Leipzig. It is the 12th most populous city of Germany, the fourth largest by area, and the third most populous city in the area of former East Germany, after Berlin and Leipzig. Dresden's urban area comprises the towns of Freital, Pirna, Radebeul, Meissen, Coswig, Radeberg and Heidenau and has around 790,000 inhabitants. The Dresden metropolitan area has approximately 1.34 million inhabitants."
Germany,Hanover,"Hanover is the capital and largest city of the German state of Lower Saxony. Its population of 535,932 (2021) makes it the 13th-largest city in Germany as well as the fourth-largest in northern Germany after Berlin, Hamburg and Bremen. Hanover's urban area comprises the towns of Garbsen, Langenhagen and Laatzen and has a population of about 791,000 (2018). The Hanover Region has approximately 1.16 million inhabitants (2019) and is the largest in the Hanover–Braunschweig–Göttingen–Wolfsburg Metropolitan Region, the 17th biggest metropolitan area by GDP in the European Union."
Germany,Nuremberg,"Nuremberg is the largest city in Franconia, the second-largest city in the German state of Bavaria, and its 544,414 (2023) inhabitants make it the 14th-largest city in Germany."
Germany,Duisburg,"Duisburg is a city in the Ruhr metropolitan area of the western German state of North Rhine-Westphalia. Lying on the confluence of the Rhine and the Ruhr rivers in the center of the Rhine-Ruhr Region, Duisburg is the 5th largest city in North Rhine-Westphalia and the 15th-largest city in Germany."
Germany,Bochum,"Bochum is a city in North Rhine-Westphalia. With a population of 372,348, it is the sixth-largest city in North Rhine-Westphalia, one of the most populous German federal states, and the 16th-largest city in Germany. On the Ruhr Heights hill chain, between the rivers Ruhr to the south and Emscher to the north, it is the second largest city of Westphalia after Dortmund, and the fourth largest city of the Ruhr after Dortmund, Essen and Duisburg. It lies at the centre of the Ruhr, Germany's largest urban area, in the Rhine-Ruhr Metropolitan Region, the second biggest metropolitan region by GDP in the European Union, and belongs to the region of Arnsberg. Bochum is the sixth largest and one of the southernmost cities in the Low German dialect area. There are nine institutions of higher education in the city, most notably the Ruhr University Bochum, one of the ten largest universities in Germany, and the Bochum University of Applied Sciences."
Germany,Wuppertal,"Wuppertal is a city in North Rhine-Westphalia, Germany, with a population of 355,000. Wuppertal is the seventh-largest city in North Rhine-Westphalia and 17th-largest in Germany. It was founded in 1929 by the merger of Elberfeld, Barmen, Ronsdorf, Cronenberg and Vohwinkel, and was initially called "Barmen-Elberfeld" before adopting its present name in 1930. It is the capital and largest city of the Bergisches Land."
Germany,Bielefeld,"Bielefeld is a city in the Ostwestfalen-Lippe Region in the north-east of North Rhine-Westphalia, Germany. With a population of 341,755, it is also the most populous city in the administrative region of Detmold and the 18th largest city in Germany."
Germany,Bonn,"Bonn is a federal city in the German state of North Rhine-Westphalia, located on the banks of the Rhine. With a population exceeding 300,000, it lies about 24 km (15 mi) south-southeast of Cologne, in the southernmost part of the Rhine-Ruhr region. This metropolitan area, Germany's largest, is also the second largest in the European Union by GDP, with over 11 million residents."
Germany,Münster,"Münster is an independent city in North Rhine-Westphalia, Germany. It is in the northern part of the state and is considered to be the cultural centre of the Westphalia region. It is also a state district capital. Münster was the location of the Anabaptist rebellion during the Protestant Reformation and the site of the signing of the Treaty of Westphalia ending the Thirty Years' War in 1648. Today, it is known as the bicycle capital of Germany."
